ego_id;rs_pattern_10;rs_pattern_11;rs_pattern_12;rs_pattern_13;rs_pattern_14;rs_pattern_15;rs_pattern_16;rs_pattern_17;rs_pattern_18;rs_pattern_19;rs_pattern_20;rs_pattern_21;rs_pattern_22;rs_pattern_23;rs_pattern_24;rs_pattern_25;rs_pattern_26;rs_pattern_27;rs_pattern_28;rs_pattern_29;rs_pattern_30
5bafb156828caf5394f240619f339d80;32360.0;19156.0;65597.0;28946.0;34245.0;40274.0;434.0;4471.0;14720.0;24767.0;7448.0;2232.0;79.0;12540.0;7506.0;2210.0;411.0;430.0;6126.0;2061.0;911.0
ff3205138f030ce71d63520393a54d0f;234.0;47.0;239.0;288.0;180.0;168.0;5.0;82.0;200.0;319.0;41.0;39.0;2.0;230.0;180.0;106.0;23.0;14.0;271.0;200.0;78.0
2e4396fa3426f164ed01bcf52d9cb8e2;377.0;1143.0;1052.0;573.0;1052.0;2614.0;18.0;287.0;758.0;3731.0;410.0;249.0;26.0;1774.0;1556.0;1157.0;107.0;233.0;2601.0;1593.0;569.0
a09d37cc8469cd5ae422b0c28f050947;1199.0;3167.0;7035.0;2266.0;491.0;3731.0;0.0;135.0;519.0;565.0;333.0;16.0;0.0;621.0;114.0;41.0;10.0;27.0;187.0;105.0;67.0
bec76bdbc3f844c22da10febf802610f;18.0;0.0;3.0;7.0;1.0;0.0;0.0;2.0;5.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0eb3dd6e68000b882011e35be065d080;706.0;47.0;681.0;417.0;200.0;107.0;27.0;101.0;105.0;92.0;30.0;34.0;3.0;57.0;38.0;8.0;7.0;3.0;26.0;5.0;7.0
0924d39c717712255cbb0d85bcfb2be3;329.0;42.0;541.0;797.0;497.0;192.0;0.0;83.0;943.0;554.0;220.0;42.0;1.0;1141.0;749.0;84.0;49.0;93.0;1258.0;991.0;604.0
4774116444f2bf659dea16d96e16ffb5;50.0;2.0;40.0;86.0;19.0;22.0;0.0;0.0;22.0;26.0;7.0;0.0;0.0;36.0;7.0;0.0;0.0;0.0;30.0;16.0;12.0
fb5754c6642e8362bd755716a4e71e52;191.0;48.0;294.0;385.0;486.0;259.0;16.0;185.0;781.0;775.0;153.0;172.0;17.0;710.0;912.0;296.0;186.0;237.0;1276.0;1108.0;416.0
08cba9bf53bf8fb1ee1666ea3aef0f37;798764.0;318844.0;1538258.0;719573.0;596952.0;623580.0;9050.0;133871.0;327849.0;450636.0;107227.0;57855.0;4094.0;182219.0;154285.0;50260.0;16947.0;13924.0;115777.0;39148.0;9604.0
bae51b36c012102cdbd271a1ad83642d;10.0;15.0;49.0;60.0;90.0;97.0;0.0;0.0;25.0;12.0;54.0;0.0;0.0;75.0;13.0;0.0;0.0;0.0;33.0;5.0;7.0
3e1daf892f55884eed30907084351a4b;3110.0;4735.0;10852.0;5577.0;5151.0;11267.0;44.0;921.0;3453.0;6673.0;2231.0;535.0;28.0;3153.0;2420.0;818.0;157.0;202.0;1946.0;716.0;187.0
1ffaad525b28b08996eba65856f3866c;323.0;35.0;299.0;212.0;175.0;149.0;5.0;62.0;103.0;214.0;45.0;57.0;11.0;49.0;110.0;24.0;22.0;19.0;50.0;11.0;2.0
9431c4ae04a55eb26984202782cdd0f8;34660.0;7321.0;48064.0;22387.0;20807.0;15334.0;568.0;5913.0;10784.0;12883.0;3340.0;2627.0;236.0;6051.0;4981.0;1100.0;840.0;637.0;3420.0;1235.0;297.0
2f4da533e6a479864dcfdee66ad973de;6.0;0.0;2.0;2.0;0.0;1.0;0.0;0.0;6.0;3.0;2.0;1.0;0.0;2.0;4.0;0.0;0.0;2.0;1.0;4.0;0.0
